condition,conv_id,turn_index,n_turns,cosine_semanticL
SB,4109,5,53,0.7528637016644147
SB,4109,6,53,0.4275365701267262
SB,4109,7,53,0.48250003473464154
SB,4109,8,53,0.9184988787372571
SB,4109,9,53,0.9033838966220556
C3-P1,2451,0,21,0.5313048116918517
C3-P1,2451,1,21,0.6815876386226413
C3-P1,2451,2,21,0.6753007317352946
C3-P1,2451,3,21,0.6782125293903308
C3-P1,2451,4,21,0.6773643920991445
C3-P1,2451,5,21,0.625173209521939
C3-P1,2451,6,21,0.5226185165778308
C3-P1,2451,7,21,0.38251648133590577
C3-P1,2451,8,21,0.5567251794574943
C3-P1,2451,9,21,0.7248347107847417
C3-P1,2451,10,21,0.7091669947082367
C3-P1,2451,11,21,0.6247632172018511
C3-P1,2451,12,21,0.5273699301549077
C3-P1,2451,13,21,0.7237472274435091
C3-P1,2451,14,21,0.6504213363817082
C3-P1,2451,15,21,0.7194908328194419
C3-P1,2451,16,21,0.6266294556697075
C3-P1,2451,17,21,0.6894683102016893
C4-P0,4177,0,19,0.6820695036773304
C4-P0,4177,1,19,0.4978217481103109
C4-P0,4177,2,19,0.5999152140741016
C4-P0,4177,3,19,0.7024945320110815
C4-P0,4177,4,19,0.6400382468752047
C4-P0,4177,5,19,0.7759119471527316
C4-P0,4177,6,19,0.7462173165961706
C4-P0,4177,7,19,0.639093969713555
C4-P0,4177,8,19,0.6976438726851267
C4-P0,4177,9,19,0.5387110386980001
C4-P0,4177,10,19,0.6385320234368559
C4-P0,4177,11,19,0.7319354459146181
C4-P0,4177,12,19,0.5622973204057614
C4-P0,4177,13,19,0.4568081010041577
C4-P0,4177,14,19,0.4619605255476342
C4-P0,4177,15,19,0.5665361868694477
C2-P0,4339,0,32,0.6484979891078566
C2-P0,4339,1,32,0.7294585803742877
C2-P0,4339,2,32,0.6297505700818664
C2-P0,4339,3,32,0.6250265303625379
C2-P0,4339,4,32,0.7491986754912116
C2-P0,4339,5,32,0.5713314267278771
C2-P0,4339,6,32,0.6713791036307757
C2-P0,4339,7,32,0.8114741187421992
C2-P0,4339,8,32,0.7771974007510148
C2-P0,4339,9,32,0.6057530020197799
C2-P0,4339,10,32,0.6822590351185304
C2-P0,4339,11,32,0.7283999531931715
C2-P0,4339,12,32,0.7240991570544224
C2-P0,4339,13,32,0.6271336057053569
C2-P0,4339,14,32,0.5221668747785407
C2-P0,4339,15,32,0.7457921978321013
C2-P0,4339,16,32,0.690371924062544
C2-P0,4339,17,32,0.6243323860823817
C2-P0,4339,18,32,0.6689420119172643
C2-P0,4339,19,32,0.7957965776995906
C2-P0,4339,20,32,0.7975519065078981
C2-P0,4339,21,32,0.6554869649960544
C2-P0,4339,22,32,0.7430587333978398
C2-P0,4339,23,32,0.6902391609881245
C2-P0,4339,24,32,0.7184170074126638
C2-P0,4339,25,32,0.6548259159748386
C2-P0,4339,26,32,0.7111967609330273
C2-P0,4339,27,32,0.7704322085916322
C2-P0,4339,28,32,0.46561252851258605
SB,4688,0,65,0.4599329256604733
SB,4688,1,65,0.442836752370795
SB,4688,2,65,0.7499147906567553
SB,4688,3,65,0.4098544471078407
SB,4688,4,65,0.33911985200312267
SB,4688,5,65,0.6265978729354821
SB,4688,6,65,0.36087262141957654
SB,4688,7,65,0.1381675529635531
SB,4688,8,65,0.5577945605256297
SB,4688,9,65,0.5577945605256297
SB,4688,10,65,0.46276203181352293
SB,4688,11,65,0.46276203181352293
SB,4688,12,65,0.5341107549830075
SB,4688,13,65,0.7642042830157939
SB,4688,14,65,0.6092759128679797
SB,4688,15,65,0.4843779639942756
SB,4688,16,65,0.8094620407936606
SB,4688,17,65,0.46984964248364336
SB,4688,18,65,0.5395532522432446
SB,4688,19,65,0.38024515474256915
C4-P2,4688,0,22,0.37598356854757276
C4-P2,4688,1,22,0.5587892705808437
C4-P2,4688,2,22,0.4838085986878239
C4-P2,4688,3,22,0.5799893030797233
C4-P2,4688,4,22,0.7678039411695692
C4-P2,4688,5,22,0.6695376603560647
C4-P2,4688,6,22,0.8128038401686475
C4-P2,4688,7,22,0.7530313173436414
C4-P2,4688,8,22,0.677230644102708
C4-P2,4688,9,22,0.7183455952893433
C4-P2,4688,10,22,0.5589085781944269
C4-P2,4688,11,22,0.7614995857720224
C4-P2,4688,12,22,0.5927787998505069
C4-P2,4688,13,22,0.6075023803035856
C4-P2,4688,14,22,0.5448065831295795
C4-P2,4688,15,22,0.624742985281868
C4-P2,4688,16,22,0.5478011013512369
C4-P2,4688,17,22,0.6300565503058837
C4-P2,4688,18,22,0.6735485629442598
SB,4382,0,47,0.8026209571973288
SB,4382,1,47,0.8356336967067681
SB,4382,2,47,0.7918955045291634
SB,4382,3,47,0.7262662381576469
SB,4382,4,47,0.39432680364700357
SB,4382,5,47,0.45843983403819877
SB,4382,6,47,0.7311191320805811
SB,4382,7,47,0.6371702722140973
SB,4382,8,47,0.16981717247680772
SB,4382,9,47,0.18794435519892605
SB,4382,10,47,0.6547527533872933
SB,4382,11,47,0.6353555305792685
SB,4382,12,47,0.8302961166760877
SB,4382,13,47,0.43942359030370426
SB,4382,14,47,0.35349403629574105
SB,4382,15,47,0.5083214672537031
SB,4382,16,47,0.8477276209641245
SB,4382,17,47,0.0
SB,4382,18,47,0.0
C2-P2,4336,0,18,0.547547374355208
C2-P2,4336,1,18,0.6106893783951194
C2-P2,4336,2,18,0.5288640876354687
C2-P2,4336,3,18,0.5653448331672042
C2-P2,4336,4,18,0.6527176546255795
C2-P2,4336,5,18,0.6770894936971646
C2-P2,4336,6,18,0.4760953456480078
C2-P2,4336,7,18,0.45159550419422845
C2-P2,4336,8,18,0.4836443396164518
C2-P2,4336,9,18,0.680086568961145
C2-P2,4336,10,18,0.5514304024679301
C2-P2,4336,11,18,0.5117195593359096
C2-P2,4336,12,18,0.6169195050898247
C2-P2,4336,13,18,0.6322011811271095
C2-P2,4336,14,18,0.6368664257808248
C3-P0,4327,0,20,0.5700445317095016
C3-P0,4327,1,20,0.7222445731211657
C3-P0,4327,2,20,0.6799284880341855
C3-P0,4327,3,20,0.6774433668701185
C3-P0,4327,4,20,0.6214029599106987
C3-P0,4327,5,20,0.7379159644921058
C3-P0,4327,6,20,0.7057484038592242
C3-P0,4327,7,20,0.7295819952389381
C3-P0,4327,8,20,0.631776332607871
